"노드 ID","정류소번호","정류소명","X좌표","Y좌표","정류소 타입"
"06205","105000119","동대문중학교","127.0532771747","37.5741762971","일반차로"
"06206","105000120","전농래미안크레시티아파트","127.0555920845","37.5762802499","일반차로"
"06207","105000121","대한노인회동대문구지회","127.0559030771","37.5762111791","일반차로"
"06208","105000122","전농사거리","127.0590375541","37.5778147722","일반차로"
"06209","105000123","전농사거리","127.059240552","37.5775633596","일반차로"
"06210","105000124","배봉초등학교.전농우성아파트","127.0672948159","37.5786953183","일반차로"
"06211","105000125","배봉초등학교.전농우성아파트","127.0674157317","37.5784402407","일반차로"
"06212","105000126","장안2동주민센터","127.0704039846","37.5788403828","일반차로"
"06213","105000127","장안2동주민센터","127.0704638197","37.5786959839","일반차로"
"06214","105000128","장안교앞","127.0739714006","37.5796533965","일반차로"
"06215","105000129","장안교.은석초등학교","127.0746902496","37.5796191566","일반차로"
"06216","105000130","청량리역6번출구","127.043803","37.578083","일반차로"
"06217","105000131","청량리역6번출구","127.043785792","37.577945301","일반차로"
"06218","105000132","롯데캐슬노블레스","127.0484716502","37.5755552627","일반차로"
"06219","105000133","전농1파출소","127.0471184271","37.5760847235","일반차로"
"06220","105000134","래미안크레시티.답십리도서관","127.0502439795","37.574561753","일반차로"
"06221","105000135","동대문구답십리도서관앞","127.051026821","37.573881303","일반차로"
"06222","105000136","답십리래미안위브아파트","127.0548282074","37.5727689807","일반차로"
"06223","105000137","답십리래미안미드카운티","127.055558","37.57298","일반차로"
"06224","105000138","답십리사거리","127.0567075826","37.5727320519","일반차로"
"06225","105000139","답십리2동두산아파트","127.0585128409","37.572753697","일반차로"
"06226","105000140","답십리시장.청솔우성아파트후문","127.0587580146","37.5729536188","일반차로"
"06227","105000141","답십리2동한양아파트앞","127.0614069359","37.5726702291","일반차로"
"06228","105000142","답십리2동한양아파트앞","127.0611222564","37.5729573511","일반차로"
"06229","105000143","동답한신.대림아파트.동대문체육관","127.063768","37.572663","일반차로"
"06230","105000144","촬영소사거리.동답초등학교","127.065212","37.572642","일반차로"
"06231","105000145","촬영소사거리.세양청마루아파트앞","127.0653558711","37.5728897611","일반차로"
"06232","105000146","동대문구.성동구선거관리위원회","127.0682024772","37.5724872082","일반차로"
"06233","105000147","동대문구.성동구선거관리위원회","127.0678744595","37.5727734631","일반차로"
"06234","105000148","장안사거리","127.070338726","37.5725845345","일반차로"
"06235","105000149","국민은행장안동지점","127.0734972565","37.5723759111","일반차로"
"06236","105000150","국민은행장안동지점","127.0742100898","37.5720533595","일반차로"
"06237","105000151","장안동근린공원","127.0719536475","37.5773238141","일반차로"
"06238","105000152","장안동근린공원","127.0723879948","37.5783141497","일반차로"
"06239","105000153","동대문더퍼스트데시앙아파트","127.0717763134","37.574992107","일반차로"
"06240","105000154","NH농협장안평지점","127.0721655351","37.5751529569","일반차로"
"06241","105000155","코리아병원","127.0716598633","37.5732069079","일반차로"
"06242","105000156","새서울병원","127.0720050585","37.5731012702","일반차로"
"06243","105000157","장안동삼성쉐르빌아파트","127.0713568649","37.5713996448","일반차로"
"06244","105000158","장안동삼성쉐르빌아파트","127.070843","37.571238","일반차로"
"06245","105000159","힐스테이트장안센트럴","127.070183","37.569605","일반차로"
"06246","105000160","현대벤처빌.현대썬앤빌","127.0694007013","37.5689208635","일반차로"
"06247","105000161","현대벤처빌","127.0692809071","37.5682414609","일반차로"
"06248","105000162","우리은행장안지점앞","127.067727","37.566393","일반차로"
"06249","105000163","우리은행장안지점앞","127.0676384821","37.565598658","일반차로"
"06250","105000164","북한연구소앞","127.0661434798","37.5634648165","일반차로"
"06251","105000165","장한평역2번출구","127.0649278366","37.5622965411","일반차로"
"06252","105000166","장한평역3번출구","127.0654362294","37.5624370636","일반차로"
"06253","105000167","신이문역","127.0679015637","37.6026165732","일반차로"
"06254","105000168","이문동현대아파트앞","127.070677379","37.6010179381","일반차로"
"06255","105000169","이문동현대아파트","127.0709847069","37.6008590191","일반차로"
"06256","105000170","휘경2동주민센터","127.0680485017","37.5907361464","일반차로"
"06257","105000171","휘경2동주민센터","127.0680858743","37.5905048929","일반차로"
"06258","105000172","동부아동보호전문기관.동대부중고","127.0763833794","37.576833541","일반차로"
"06259","105000173","장안삼성래미안2차아파트","127.0766223278","37.574681581","일반차로"
"06260","105000174","장안삼성래미안2차아파트.성복교회","127.0768144692","37.5728468216","일반차로"
"06261","105000175","장안현대홈타운아파트앞","127.073388625","37.5697591707","일반차로"
"06262","105000176","동대문구민체육센터","127.073941301","37.5663862675","일반차로"
"06263","105000177","파라브아파트","127.0723739757","37.5635828092","일반차로"
"06264","105000178","장안현대홈타운상가","127.0743786204","37.571308398","일반차로"
"06265","105000179","장안현대홈타운앞","127.0756173134","37.5692893642","일반차로"
"06266","105000180","장안치안센터","127.0724996415","37.5679458841","일반차로"
"06267","105000181","장안치안센터","127.0727017522","37.568222123","일반차로"
"06268","105000182","장평중학교","127.0709395499","37.565745401","일반차로"
"06269","105000183","회기역종점","127.0588619251","37.5899003691","일반차로"
"06270","105000184","경희대입구","127.0530131529","37.5912717108","일반차로"
"06271","105000185","경희대입구","127.0527127306","37.5915831099","일반차로"
"06272","105000186","서울바이오허브","127.0501400812","37.5913878427","일반차로"
"06273","105000187","서울바이오허브","127.0492768654","37.5916089493","일반차로"
"06274","105000188","한국과학기술원.홍릉초등학교","127.045747","37.591769","일반차로"
"06275","105000189","한국과학기술원.홍릉초등학교","127.0469641413","37.5915445702","일반차로"
"06276","105000190","국방연구원","127.0411809472","37.5914093283","일반차로"
"06277","105000191","국방연구원","127.040058371","37.5911039928","일반차로"
"06278","105000192","세종대왕기념관","127.042380198","37.5898533719","일반차로"
"06279","105000193","세종대왕기념관","127.0425673859","37.5904615395","일반차로"
"06280","105000194","영휘원사거리.(구)홍릉사거리","127.0431751633","37.5860009275","일반차로"
"06281","105000195","영휘원사거리.(구)홍릉사거리","127.043466176","37.586014337","일반차로"
"06282","105000196","동대문경찰서","127.043784304","37.5841404107","일반차로"
"06283","105000197","동대문경찰서","127.0442607393","37.5835585724","일반차로"
"06284","105000198","현대코아","127.0448733855","37.5818120287","일반차로"
"06285","105000199","현대코아","127.0446557984","37.5814859166","일반차로"
"06286","105000200","동대문중앙새마을금고","127.0412131745","37.5831179316","일반차로"
"06287","105000201","동대문중앙새마을금고","127.0422207161","37.5829869315","일반차로"
"06288","105000551","제기동주민센터앞","127.0378676044","37.5829768901","일반차로"
"06289","105000203","제기동한신아파트","127.0373610455","37.5866381789","일반차로"
"06290","105000204","제기시장","127.0352199679","37.586385972","일반차로"
"06291","105000205","제기시장","127.0346709609","37.5866248976","일반차로"
"06293","105000207","외대역앞","127.0609470779","37.596009591","일반차로"
"06294","105000208","외대역앞","127.0613604745","37.5960661454","일반차로"
"06295","105000209","이경시장","127.0649927315","37.5952640352","일반차로"
"06297","105000211","청랑리한신아파트.청량사입구","127.0474140067","37.5867421008","일반차로"
"06298","105000212","전동초등학교.전농동SK아파트","127.060944646","37.5777508201","일반차로"
"06299","105000213","벽산아파트","127.0305141879","37.5827562798","일반차로"
"06300","105000214","제기동천주교회","127.033571029","37.582856812","일반차로"
"06301","105000215","이문동쌍용아파트","127.0688553749","37.5988779848","일반차로"
"06302","105000216","이문동쌍용아파트","127.0691211054","37.5988317049","일반차로"
"06303","105000217","이문1동주민센터","127.0652559287","37.5978067756","일반차로"
"06304","105000218","전동초등학교.전농동SK아파트","127.061494401","37.578119856","일반차로"
"06308","105000222","한국산업인력공단서울지역본부","127.072970655","37.5837445296","일반차로"
"06309","105000223","서울반도체고교.휘경주공아파트","127.0692518943","37.5841657316","일반차로"
"06310","105000559","e편한세상청계센트럴포레아파트","127.0302942423","37.5708159089","일반차로"
"06311","105000558","한천로입구","127.0673520004","37.5991142874","일반차로"
"06313","105000226","래미안장안1차아파트앞","127.0720204711","37.5668317101","일반차로"
"06314","105000227","장평중학교앞","127.0702527994","37.564958189","일반차로"
"06315","105000228","청량리미주상가앞","127.0472557344","37.5819579768","가로변전일"
"06316","105000229","동대문구청.용두역","127.04015","37.572834","일반차로"
"06318","105000231","종로사약국","127.0653057725","37.5945213658","일반차로"
"06320","105000233","회기동현대아파트","127.0544608913","37.5891109228","일반차로"
"06321","105000234","우산빌딩앞","127.0546770593","37.588882349","일반차로"
"06322","105000235","배봉산입구","127.0682039807","37.5803416249","일반차로"
"06324","105000237","면곡시장","127.0810660939","37.5716446389","일반차로"
"06330","105000243","동부아파트","127.0452316453","37.5866888977","일반차로"
"06335","105000248","자동차부품상가","127.0577756725","37.5645946726","일반차로"
"06349","105000262","청랑리한신아파트.청량사입구","127.0476686082","37.5865144976","일반차로"
"06356","105000550","장안동삼성쉐르빌아파트앞","127.0702110373","37.5723084893","일반차로"
"06357","105000269","동대문노인종합복지관","127.0497131121","37.5859460919","일반차로"
"06358","105000270","쌍용아파트","127.0683889136","37.6013501097","일반차로"
"06359","105000271","쌍용아파트","127.0685176937","37.6014674544","일반차로"
"06416","105000287","삼육서울병원","127.0623612795","37.5902833371","일반차로"
"06417","105000288","동일스위트리버앞.휘봉고교","127.0676591393","37.5871806733","일반차로"
"06418","105000289","청량리수산시장","127.0408714095","37.5786434462","일반차로"
"06419","105000290","휘봉초등학교","127.0696854187","37.5877063782","일반차로"
"06422","105000477","휘경미소지움아파트","127.0645643148","37.5909282333","일반차로"
"06423","105000549","서울반도체고교.휘경주공아파트","127.0697135361","37.5844695451","일반차로"
"06424","105000479","용두동신동아아파트","127.0325997915","37.5740450496","일반차로"
"06425","105000568","다사랑행복센터.서울문화재단","127.033757","37.571438","일반차로"
"06426","105000488","청량리수산시장","127.0418950942","37.5789521614","일반차로"
"06500","105900043","답십리역","127.0531915243","37.5667684599","마을버스"
"06501","105900028","가든아파트.수사연구소","127.0720741928","37.5845492166","마을버스"
"06502","105900027","회기역","127.0578476787","37.5901230159","마을버스"
"06503","105900026","답십리역1번출구","127.0506963586","37.5684978574","마을버스"
"06504","105900025","동일하이빌.현대베스트빌아파트","127.0739978057","37.5824731826","마을버스"
"06505","105900057","동안교회","127.0577430725","37.593867821","마을버스"
"06506","105900051","경희대입구","127.0527811217","37.5915657534","마을버스"
"06507","103000508","청계한신휴플러스","127.0450335285","37.571807229","일반차로"
"06508","105900061","시조사삼거리","127.053504","37.588481","마을버스"
"06509","105900024","경희중고","127.056427291","37.5943592428","마을버스"
"06510","105900050","경희대의료원.경희여중고","127.052311","37.594127","마을버스"
"06511","105900041","한신휴플러스정문","127.0450796439","37.5727352624","마을버스"
"06512","105000561","천장산로33","127.057872","37.598865","마을버스"
"06513","105900023","경희맨션","127.0570001318","37.5956150844","마을버스"
"06515","105900022","동아아파트","127.0455832239","37.5742471004","마을버스"
"06516","105000562","삼성래미안","127.058495","37.600017","마을버스"
"06517","105900021","경희대동문","127.0568673052","37.5966712234","마을버스"
"06518","105000563","래미안라그란데","127.060119","37.59979","마을버스"
"06519","105900020","전농119안전센터","127.0456081798","37.5761835356","마을버스"
"06520","105000564","래미안라그란데","127.059674","37.599997","마을버스"
"06521","105900019","외대.경희대후문","127.0571505475","37.5983128684","마을버스"
"06523","105900018","전농1동치안센터","127.0480957022","37.5764222386","마을버스"
"06524","105900017","휘경여중고.휘경주공아파트","127.0685629353","37.5824548381","마을버스"
"06526","105900038","신성미소지움아파트","127.0501307614","37.5789318307","마을버스"
"06528","105900016","삼성래미안","127.0573675632","37.5999118194","마을버스"
"06530","105900039","청량리소화물취급소","127.0514146373","37.5805090878","마을버스"
"06533","105900036","영광빌딩","127.0525059131","37.5818431221","마을버스"
"06537","105900015","시립대입구","127.0534663672","37.5838521215","마을버스"
"06539","105900056","외대앞역","127.0628249067","37.5953348737","마을버스"
"06546","105900053","회기역종점","127.0587395905","37.5898517712","마을버스"
"06556","105900012","외대.경희대후문","127.0569625455","37.5983039484","마을버스"
"06557","105900029","신설동역1번출구","127.0236090065","37.5760124698","마을버스"
"06559","105900060","천장산로33","127.0577550224","37.5988826722","마을버스"
"06560","105900011","경희대동문","127.056746183","37.5967406655","마을버스"
"06564","105900009","경희맨션","127.0569106983","37.5956556765","마을버스"
"06567","105900007","경희중고","127.056342578","37.5946512359","마을버스"
"06570","105900006","동안교회","127.0573015187","37.5928603119","마을버스"
"06572","105900005","동대부고.은석초교앞","127.0736700296","37.5792594647","마을버스"
"06575","105900004","서울시립대","127.0531816401","37.5831151587","마을버스"
"06576","105900037","영광빌딩","127.0521991693","37.5819811249","마을버스"
"06577","105900040","청량리소화물취급소","127.0511350317","37.5805903074","마을버스"
"06578","105900031","신성미소지움아파트","127.0495757982","37.5786581335","마을버스"
"06579","105900032","전농1동치안센터","127.0476065132","37.5762782623","마을버스"
"06580","105900033","동대문해병전우회","127.0455245142","37.5763718959","마을버스"
"06581","105900034","태양하나어린이집.동아아파트","127.0454348029","37.5740642361","마을버스"
"06582","105900035","한신휴플러스후문","127.0467315569","37.572989629","마을버스"
"06583","105900042","신답역","127.0492345839","37.5711404728","마을버스"
"06584","105900003","삼희아파트1동","127.0505437481","37.5701586306","마을버스"
"06585","105900044","답십리고미술상가2동","127.0514870981","37.5689958143","마을버스"
