정제역명,지하철_총하차,위도,경도,주변_버스_하차,주변_상가_수,총_유입_인구,혼잡_가성비_지수
충정로,454112,37.5595497452985,126.963876139766,475618.6575770109,369,929730.6575770109,3.968887119124856
논현,553747,37.5143011318846,127.03177451842,350557.7699893034,358,904304.7699893033,3.958837949294901
내방,430244,37.4881272941617,126.993214566031,285280.24639734393,283,715524.2463973439,3.9551364738686674
중화,346529,37.6018017362285,127.079420293401,453709.53496618266,316,800238.5349661827,3.948817650122146
한남,103899,37.5297434878494,127.009958891666,211110.26037997927,124,315009.26037997927,3.9363797182487237
군자,790034,37.5567298489954,127.080534516969,449561.4438948652,481,1239595.4438948652,3.8802950941733694
광화문,1074498,37.5724324798009,126.976901845925,1483746.6523983916,992,2558244.6523983916,3.877657327669006
답십리,426253,37.5664458277827,127.05318095956,435498.23545054806,334,861751.2354505481,3.875824004394668
오금,284248,37.5034129970335,127.1261679323,260784.96538607113,211,545032.9653860711,3.8713183654625922
상봉,736827,37.5967661519331,127.086029501617,396400.8035346289,438,1133227.8035346288,3.865062365462684
마포구청,399020,37.5634263131969,126.903356973848,298807.29819589277,267,697827.2981958927,3.8261561001507047
경복궁,895496,37.5757611449079,126.973206515467,1066489.271849226,748,1961985.271849226,3.8124629653753357
불암산,268899,37.670098,127.0789245,118185.88041618273,146,387084.88041618274,3.7717728128710175
공덕,1190534,37.5444872539487,126.95119513916,792357.0264151102,747,1982891.02641511,3.7672247911073033
오목교,679618,37.5246786692461,126.874009847123,676826.100339452,507,1356444.100339452,3.7377111677658212
미아,477814,37.6299413015528,127.024720753202,438289.2075476427,341,916103.2075476428,3.7222839627910562
서강대,74428,37.5522607406199,126.935322258958,1164280.8643065721,458,1238708.8643065721,3.6973952754980903
학동,626487,37.5143011318846,127.03177451842,350557.7699893034,358,977044.7699893033,3.664106749102648
독바위,84424,37.618376567324,126.93285727832,170483.11219512194,93,254907.11219512194,3.648373494242201
효창공원앞,328163,37.5396223423102,126.960983585874,480424.4589283534,293,808587.4589283534,3.6235985904167083
남부터미널,935276,37.4865945147413,127.015296934392,469932.4642845362,509,1405208.4642845362,3.6222357800526046
왕십리,1170424,37.5612217415191,127.036655378283,1010671.0113697045,788,2181095.0113697043,3.61286250532889
신대방삼거리,435454,37.4996533957204,126.92770655471,561830.5215945676,356,997284.5215945676,3.5696898460010615
삼각지,478626,37.5346530401734,126.973221681869,614826.2751069011,386,1093452.275106901,3.5301005428170935
가락시장,531228,37.4929147735248,127.118215300381,515676.3388554454,369,1046904.3388554454,3.524673972944089
동대문,1114973,37.5717670158726,127.011257206368,647804.2588738905,621,1762777.2588738906,3.522848077311273
보문,298709,37.5858876384337,127.019704709218,546740.7728817149,297,845449.7728817149,3.5129189010931636
이대,597049,37.5568526932828,126.947730357154,741767.7608505789,470,1338816.760850579,3.5105599413425703
광흥창,266658,37.5474263727384,126.932476697359,286650.5506602616,192,553308.5506602617,3.470028662452823
면목,439103,37.5892190126748,127.087355503902,570910.9352964079,350,1010013.9352964079,3.465295291868985
선릉,1811284,37.5074093716094,127.058026248636,622155.6213987984,843,2433439.621398798,3.464230820291904
북한산우이,114710,37.6628257781604,127.012716319367,123262.65086341226,82,237972.65086341224,3.4457596335766123
새절,363382,37.5911598617283,126.913285359184,700710.1190234254,366,1064092.1190234255,3.4395486020612327
신정네거리,305741,37.5183306756475,126.853629223262,516745.7367563438,281,822486.7367563439,3.416464312382134
약수,489400,37.5544485373352,127.010990910392,506100.7334764561,340,995500.733476456,3.4153632140113306
시청,1473539,37.5656084379833,126.976944701063,1065025.6644063566,864,2538564.6644063564,3.4034967545424766
압구정로데오,606652,37.529440360849,127.041260327992,493600.0435195812,370,1100252.0435195812,3.362862772152969
명동,1289984,37.5608407630906,126.985735507155,825837.720929098,710,2115821.720929098,3.3556686624871177
우장산,457439,37.549225181504,126.836413985102,371363.3682306075,278,828802.3682306075,3.3542334726932346
강남,2265088,37.4970572543978,127.028180714381,1056129.4417825728,1101,3321217.441782573,3.3150484356851533
신논현,953504,37.5064573770425,127.031325016674,317286.7513510223,420,1270790.7513510222,3.30502617406419
혜화,1239594,37.5821325777078,127.001814703064,963928.9489080026,727,2203522.9489080026,3.2992607153658504
신촌,1290762,37.5546737368641,126.937561435278,1383568.6756694065,876,2674330.6756694065,3.2755847300830037
